chiSquare info:
缸 2117.52283068
教育局 2116.48951565
完整性 2111.15446756
匹配 2110.22617835
置业 2103.27256232
尾部 2103.20469397
功效 2098.44583773
货币 2093.76854882
热播 2088.85294181
上映 2087.80506239
蛋白质 2085.89885713
学科 2071.66123822
出战 2071.1679189
校长 2066.09282826
公安局 2064.18192648
经济性 2062.16687202
现款 2061.21697157
替补 2057.55019424
怪物 2051.57024315
厂商 2042.38412963
维生素 2038.93965361
笔试 2034.80376137
存储 2033.53326467
记者 2030.88808273
利率 2026.16503609
故事 2024.87864303
代谢 2022.70735562
迎战 2020.59169803
指数 2019.85268919
仪表盘 2018.4019712
作战 2013.284044
上场 2011.14183939
票房 2001.74421748
新城 2000.07607877
整机 1999.33869642
研究生 1997.52581388
品牌 1992.99893308
消费者 1990.84452967
苹果 1979.01481538
巴萨 1973.60775057
pk 1970.96588046
新浪娱乐 1967.98589268
胜利 1963.60890915
入学 1959.55933293
电池 1951.23198015
健康 1948.38366561
经济 1946.85819694
女星 1941.75717987
样板间 1936.74732909
增长 1931.41538627
解放军 1930.44354246
命中 1926.85134701
乐居 1922.55606815
建筑 1920.47322095
成绩 1920.14456033
手动 1918.94580763
制动 1913.33819028
走势 1909.42540573
小学 1906.39143691
就业 1900.35575736
音乐 1900.2837825
房价 1896.09906928
证券 1887.10454504
腾讯 1879.94379724
队员 1874.85818885
三国 1871.61112473
投篮 1871.26911613
资产 1864.35626755
名学 1863.306888
出局 1861.91443411
英语 1857.72529513
回合 1853.11983653
上涨 1852.78260739
连胜 1850.5012157
芯片 1843.22607281
全场 1840.50035474
免责 1833.13962232
传动 1830.81065617
禁区 1827.13564171
所学 1826.59527762
艺人 1821.05565842
短期 1816.28805041
演习 1809.77840207
中超 1806.25481904
驾驶者 1801.9928951
换挡 1796.7597437
男人 1796.69273069
上市 1792.16804929
汽油 1789.43853274
准确性 1787.33894638
质保 1786.36055111
出场 1781.28836408
争端 1777.78428422
一球 1770.47009739
学位 1766.60316887
建筑面积 1766.01074836
志愿 1765.72146855
装饰 1765.55709653
舞台 1761.27015556
主权 1759.25825095
拜仁 1753.52019022
银行 1748.91451554
资格 1748.18324049
an 1745.48256006
爱情 1744.05111209
操控 1742.28936375
微软 1740.14731169
转会 1739.52045305
穆里尼奥 1738.95826133
战场 1737.85484361
主队 1735.43495692
事发 1734.98526392
人力资源 1733.17861311
设备 1730.98465047
住房 1728.37900519
攻击 1725.73634181
xy 1719.91009573
编剧 1719.86966494
讲述 1717.01494883
防务 1714.39613495
配备 1712.03268748
触控 1711.60432858
技术 1708.45959183
输球 1705.60869992
装备 1703.93747066
演唱会 1703.62134626
相册 1696.75970221
剧本 1695.58665123
全日制 1694.30157006
军力 1693.42931996
治疗 1691.6646183
肌肤 1685.36510774
外交部 1682.22297151
土地 1681.71874425
咨询电话 1679.24276689
容量 1674.68868966
出线 1672.26057677
机油 1671.95621648
高中 1670.18558228
教育厅 1669.12618399
生态 1668.25702246
中学 1666.67633359
声明 1666.16633321
卫冕 1665.87610928
硬盘 1663.78278797
起飞 1661.26067983
演唱 1660.79868656
校园 1659.04966307
用地 1657.63202469
美元 1657.1039678
投资 1657.00435388
赵薇 1654.35003548
战斗机 1650.14140812
家族 1645.09357653
市场 1643.88329119
美联储 1638.22283878
交易 1638.08765736
淘宝网 1634.62689641
表演 1631.03327285
敌人 1628.30844689
三节 1627.46400961
三分球 1625.96982737
北京 1623.61134747
学历 1622.89521075
奥迪 1622.39141698
高通 1620.4104623
空调 1617.72301934
小组赛 1617.53960459
越野 1616.26375793
犯罪 1608.32434339
运行 1607.70620257
降息 1605.08596902
pvp 1603.78483452
四驱 1599.10373443
毕业 1598.77175557
应届 1596.61581554
车尾 1594.79384788
扳平 1594.47767564
国家队 1593.55016542
球星 1593.46953217
轮胎 1593.29671569
架 1590.12434836
逆转 1585.97299214
装修 1585.124015
吸收 1570.07381216
恒大 1567.1104244
中小学 1565.4363126
歌曲 1565.21402434
钙 1561.33094649
四节 1561.0585686
物业 1557.38612853
后视镜 1554.90679515
二手房 1554.51377486
生涯 1554.36815115
师生 1548.21429142
爱车 1543.7449913
传球 1543.72926833
一汽 1542.33588257
尼克斯 1541.55677325
安全气囊 1538.72608469
新浪 1538.64763393
裁判 1536.57919784
分泌 1535.32362739
颜色 1532.48676024
发射 1531.48843153
人才 1531.04487067
专辑 1530.74750835
填报 1529.56467544
债券 1523.30378667
无线 1522.16449071
v6 1520.52371067
金价 1518.53551824
武器 1518.34033686
火箭 1517.63925786
内线 1517.2489586
领先 1516.67627285
破门 1516.28543882
司机 1514.59187758
预防 1512.78114504
外援 1507.44411019
季度 1507.07701678
欧元区 1504.22044482
前场 1497.19999378
s4 1495.21017613
老将 1494.4225984
性生活 1493.75577007
rpm 1491.51656996
舰队 1490.25775085
系统 1489.72322075
操控性 1489.17442011
和讯 1485.78521063
实践 1480.64349694
下行 1478.42149966
生源 1477.03810915
取胜 1470.99504132
硕士 1470.20638057
汽车市场 1470.2013029
马云 1463.84076201
数码 1463.03698205
笔记本 1462.62121894
战平 1461.92300318
南海 1460.80011173
失误 1459.47410249
中国汽车 1457.85608596
舰艇 1455.71100574
跑车 1455.61638197
多特 1454.00370009
支付宝 1453.69784859
青春 1452.25039748
套房 1452.23520717
传感器 1446.85228994
灰熊 1446.60045505
演技 1446.23371776
反超 1442.73054126
前置 1437.80108423
车顶 1436.75631109
工作 1435.05993574
公务员 1433.20412563
中方 1432.29027051
短线 1432.06980387
上轮 1429.2454979
区域 1427.93044853
和讯网 1423.6595555
营销 1419.66294441
偶像 1418.83196344
剧组 1418.17928593
股市 1418.10030981
出道 1418.08736753
动力性 1413.76150685
用户数 1412.25198894
谷歌 1409.706686
流量 1408.35764131
招收 1406.51607672
概念车 1404.34178357
药物 1403.4941907
飞行员 1402.32613606
中国教育 1402.13032291
朝鲜 1399.42205308
收盘 1399.00577836
改款 1398.62573079
npc 1397.46575899
天窗 1396.47448733
销量 1396.11043398
马德里 1395.44253637
兴趣 1392.15929061
增速 1391.50410701
淘汰 1391.4967517
食品 1389.48374615
血液 1389.41457935
阵容 1388.10833173
直升机 1385.91580015
多功能 1385.45338098
地块 1381.0561943
减肥 1380.38631141
高等教育 1379.77670687
坐骑 1378.58485291
买房 1378.49210194
仪表 1377.50998408
建成 1377.33152319
素质 1376.85432858
诺基亚 1375.95308145
半场 1374.52781042
反击 1372.80269556
剑 1372.51543729
角色 1372.48611356
罚球 1372.37325972
马化腾 1371.71603079
拍戏 1370.60840215
常规赛 1367.46100999
国服 1366.16170149
刹车 1365.20605796
武侠 1363.4874827
乘用车 1362.44879389
保级 1361.27355203
宽松 1361.18303573
